City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Sarangani,PH,81.57,overcast clouds,5.4033,125.4636,Ballistic Islet
275,Sabha,LY,82.44,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
280,Mahibadhoo,MV,82.94,broken clouds,3.7833,72.9667,Omadhoo Inn
285,Santa Maria Del Oro,MX,88.48,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
288,Lorengau,PG,82.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
291,Dingle,PH,76.44,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
303,Nanakuli,US,80.6,clear sky,21.3906,-158.1547,Camp Pālehua
304,Domoni,KM,79.3,broken clouds,-12.2569,44.5319,Al Djadid
313,Sinnamary,GF,78.55,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
314,Esmeralda,CU,89.6,few clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
315,Amahai,ID,78.01,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
316,Tual,ID,82.83,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
320,Najran,SA,82.4,dust,17.4924,44.1277,محمد هادي ال فطيح
326,Pandharpur,IN,81.61,clear sky,17.6667,75.3333,Pandharinath Lodge and Restaurant
329,Ewa Beach,US,80.6,clear sky,21.3156,-158.0072,Uncle Junior Robert
331,Sawakin,SD,78.67,overcast clouds,19.1059,37.3321,فندق الدويم
332,Portland,US,75.0,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
336,Itaituba,BR,77.0,few clouds,-4.2761,-55.9836,Hotel Campos
341,Mitsamiouli,KM,80.87,light rain,-11.3847,43.2844,Foyer ADM
342,Aracati,BR,78.46,moderate rain,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
343,Manali,IN,77.0,mist,13.1667,80.2667,Sarathy Lodge
350,Sungai Besar,MY,78.8,scattered clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
353,Robertsport,LR,81.91,broken clouds,6.7533,-11.3686,Kwepunha Retreat
355,Carutapera,BR,76.91,overcast clouds,-1.195,-46.02,Lidera
360,Le Port,RE,75.2,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
362,Chabahar,IR,80.51,few clouds,25.2919,60.643,هتل گدروشیا
364,Kailua,US,80.6,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
365,Harper,LR,81.34,overcast clouds,4.375,-7.7169,Screensaver
368,Ferkessedougou,CI,87.33,broken clouds,9.6,-5.2,Hotel Chateau
369,Bucerias,MX,80.6,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
379,Bandarbeyla,SO,80.11,scattered clouds,9.4942,50.8122,JABIR HOTEL
382,Gabu,GW,83.14,scattered clouds,12.2833,-14.2167,Hotel karsa
392,Acapulco,MX,86.0,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
393,Cutler,US,84.99,clear sky,25.6151,-80.3106,Quality Inn Miami South
395,Andros Town,BS,78.8,few clouds,24.7,-77.7667,Hanks place
402,Hoquiam,US,75.99,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
